cluster_num,key_features,books
0,"['瓦拉', '曼联', '利亚', '球员', '内在']","[62, 261, 725, 726, 727, 729, 730, 734, 737, 738, 739, 740, 1462, 1465]"
1,"['山东泰山', '卡雅', '莫伊塞斯', '亚冠', '康熙']","[74, 822, 824, 844, 847, 849, 850, 851, 954, 1829]"
2,"['阿森纳', '曼城', '阿尔特', '英超', '比赛']","[15, 229, 234, 235, 243, 245, 251, 265, 266, 268, 269, 270, 273, 274, 588, 732, 1022, 1215, 1544, 1927, 1968, 1971, 1972, 1973, 2028, 2318, 2331, 2522, 2592, 2609, 2610, 2757, 2758, 2806, 2819, 2820, 2823]"
3,"['新加坡', '中国队', '韩国队', '韩国', '比赛']","[7, 41, 77, 152, 153, 154, 161, 164, 479, 481, 482, 921, 922, 925, 1787, 1788, 1789, 1790, 1792, 1795, 1797, 1799, 1801, 1849, 1854, 1856, 1858, 1859, 1860, 1862, 1884, 2173]"
4,"['比赛', '马德里', '联赛', '皇家', '西甲']","[10, 18, 144, 148, 202, 224, 230, 563, 633, 637, 645, 646, 666, 670, 674, 970, 982, 985, 987, 988, 989, 990, 1023, 1039, 1183, 1184, 1189, 1191, 1192, 1197, 1219, 1303, 1306, 1509, 1630, 1637, 1638, 1659, 1660, 1743, 1745, 1747, 1748, 1750, 1751, 1753, 1755, 1756, 1757, 1758, 1762, 1928, 2054, 2250, 2254, 2320, 2322, 2325, 2333, 2346, 2353, 2370, 2372, 2374, 2375, 2377, 2380, 2381, 2383, 2496, 2526, 2570, 2572, 2718, 2722, 2727, 2728]"
5,"['球队', '球员', '艾菲尔', '转会', '巴塞罗那']","[32, 54, 56, 91, 132, 155, 241, 519, 589, 591, 639, 668, 669, 673, 676, 754, 973, 1004, 1025, 1036, 1040, 1042, 1100, 1168, 1169, 1280, 1445, 1446, 1461, 1567, 1568, 1569, 1571, 1572, 1582, 1584, 1609, 1681, 1683, 1711, 1827, 1831, 1832, 1833, 1834, 1835, 1838, 1839, 1840, 1841, 1969, 1996, 2355, 2382, 2384, 2397, 2501, 2569, 2571, 2580, 2596, 2608, 2620, 2647, 2802]"
6,"['勇士队', '库里', '国王队', '勇士', '金州']","[29, 33, 34, 37, 318, 396, 397, 399, 403, 405, 406, 435, 443, 1417, 1418, 1419, 1422, 1426, 1427]"
7,"['交易', '拉文', '公牛', '公牛队', '湖人']","[24, 26, 42, 43, 331, 339, 357, 359, 360, 361, 363, 364, 365, 366, 367, 368, 402, 430, 431, 432, 447, 454, 460, 485, 486, 487, 488, 489, 1361, 1364, 1394, 1402]"
8,"['文加', '卡马', '皇马', '马德里', '皇家']","[5, 1444, 1480, 1481, 1482, 1483, 1484, 1485, 1486, 1487, 1488, 1489, 1490, 1491, 1492, 1493]"
9,"['拉塔', '卡尔', '萨雷', '巴黎', '曼联']","[102, 256, 262, 1020, 1234, 1235, 1236, 1237, 1239, 1240, 1241, 1242, 1245, 1247, 1248, 1250, 1443, 1552, 1946, 1951, 1952, 1953, 1955, 1956]"
10,"['雷霆', '篮板', '76', '吉迪', '助攻']","[4, 112, 113, 114, 116, 117, 118, 119, 120, 122, 333, 436, 449, 459, 462, 466, 468, 469, 470, 1340, 1341, 1342, 1343, 1344, 1356, 1357, 1359, 1360, 1362, 1365, 1367, 1368, 1373, 1375, 1390, 1401]"
11,"['塞维利亚', '拉莫斯', '回归', '皇马', '埃因霍温']","[11, 225, 227, 233, 1021, 1548, 1551, 2595, 2633, 2634, 2635, 2636, 2637, 2638, 2639, 2640, 2641, 2642, 2644, 2645, 2646, 2660, 2664]"
12,"['米兰', 'ac', '多特蒙德', '马达', '戴维']","[1246, 1305, 1502, 1503, 1508, 1514, 1549, 1603, 1612, 1616, 1702, 1703, 1704, 1705, 1707, 1709, 1712, 2349]"
13,"['亨利', '迪奥拉', '曼城', '法国', '比利时']","[9, 249, 1018, 2029, 2030, 2032, 2033, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2044, 2324, 2329, 2476, 2743, 2756, 2838, 2840, 2841]"
14,"['朗斯', '巴黎', '法甲', '圣日耳曼', '联赛']","[8, 171, 174, 1550, 1985, 1987, 1990, 1991, 1992, 1993, 1995, 1997, 1999, 2000, 2001, 2419, 2421, 2621]"
15,"['皇马', '安切洛蒂', '德里奇', '皇家', '马德里']","[3, 14, 17, 92, 99, 101, 129, 130, 135, 146, 263, 264, 1003, 1005, 1019, 1026, 1028, 1126, 1127, 1128, 1129, 1130, 1133, 1134, 1135, 1136, 1149, 1162, 1166, 1194, 1196, 1213, 1214, 1217, 1222, 1223, 1224, 1225, 1227, 1447, 1510, 1513, 1543, 1553, 1632, 1635, 1643, 1764, 1769, 1773, 1775, 1777, 1778, 1779, 1781, 1782, 2061, 2146, 2577, 2578, 2778, 2824]"
16,"['凯恩', '拜仁', '哈里', '进球', '慕尼黑']","[58, 59, 61, 522, 559, 562, 566, 567, 568, 569, 571, 572, 574, 575, 576, 1080, 1105, 1949, 2420]"
17,"['分钟', '禁区', '推射', '破门', '皮球']","[6, 19, 291, 629, 661, 667, 700, 1182, 1190, 1195, 1220, 1518, 1519, 1520, 1521, 1522, 1523, 1524, 1525, 1526, 1527, 1528, 1530, 1531, 1532, 1706, 1752, 2192, 2198, 2201, 2203, 2204, 2206, 2319, 2332, 2352, 2356, 2379, 2669]"
18,"['穆里尼奥', '罗马', '罗马队', '巴拉', '阿兹蒙']","[219, 1125, 1439, 1511, 1512, 1599, 1602, 1608, 1610, 1613, 2429, 2430, 2432, 2433, 2435, 2460, 2461, 2463, 2464, 2495, 2498]"
19,"['中国男足', '男足', '韩国', '比赛', '强赛']","[157, 159, 160, 162, 475, 775, 923, 933, 1507, 1628, 1800, 1802, 1803, 1843, 1846, 1857, 1874, 1878, 1880, 1881, 1882, 1883, 1885, 1886]"
20,"['国际米兰', '社会', '本菲卡', '尤文图斯', '国米']","[139, 170, 201, 208, 209, 220, 1501, 1505, 1574, 1575, 1580, 1586, 1587, 1601, 1614, 1682, 1684, 1685, 1687, 1689, 1926, 2274, 2278, 2279, 2280, 2573, 2575, 2576, 2771, 2772]"
21,"['林斯基', '那不勒斯', '奥斯梅', '合同', '意甲']","[142, 678, 1468, 1724, 1725, 1726, 1727, 1731, 1733, 1735, 1736, 1737, 1738, 1739, 1740]"
22,"['曼联', '哥本哈根', '曼联队', '比赛', '欧冠']","[1, 13, 20, 21, 167, 169, 253, 254, 260, 490, 491, 492, 493, 494, 495, 497, 498, 500, 501, 502, 503, 693, 728, 735, 756, 759, 1925, 1929, 1930, 1931, 1932, 2740, 2804]"
23,"['佩德罗', '罗马', '拉齐奥', '切尔西', '转会']","[213, 1466, 2477, 2478, 2479, 2480, 2482, 2483, 2484, 2485, 2486, 2487, 2489, 2490, 2499]"
24,"['中国女足', '女足', '水庆霞', '美国', '王军']","[16, 276, 277, 279, 280, 281, 284, 286, 287, 288, 289]"
